molecule_chembl_id,pref_name,molecule_type,structure_type,max_phase,first_approval,mechanism_of_action,action_type,target_chembl_id,target_name
CHEMBL2,PRAZOSIN,Small molecule,MOL,4.0,1976.0,,,,
CHEMBL3,NICOTINE,Small molecule,MOL,4.0,1984.0,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,CHEMBL1907589,
CHEMBL4,OFLOXACIN,Small molecule,MOL,4.0,1990.0,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,
CHEMBL5,NALIDIXIC ACID,Small molecule,MOL,4.0,1964.0,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,
CHEMBL6,INDOMETHACIN,Small molecule,MOL,4.0,1965.0,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,
CHEMBL403,SULBACTAM,Small molecule,MOL,4.0,,,,,
CHEMBL404,TAZOBACTAM,Small molecule,MOL,4.0,1993.0,,,,
CHEMBL8,CIPROFLOXACIN,Small molecule,MOL,4.0,1987.0,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,
CHEMBL8,CIPROFLOXACIN,Small molecule,MOL,4.0,1987.0,Topoisomerase IV,INHIBITOR,CHEMBL2363076,
CHEMBL9,NORFLOXACIN,Small molecule,MOL,4.0,1986.0,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,
CHEMBL9,NORFLOXACIN,Small molecule,MOL,4.0,1986.0,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,
CHEMBL405,AMPHETAMINE,Small molecule,MOL,4.0,1955.0,Dopamine transporter releasing agent,RELEASING AGENT,CHEMBL238,
CHEMBL405,AMPHETAMINE,Small molecule,MOL,4.0,1955.0,Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL222,
CHEMBL6622,ISOSORBIDE DINITRATE,Small molecule,MOL,4.0,1986.0,Soluble guanylate cyclase activator,ACTIVATOR,CHEMBL2111348,
CHEMBL6437,MIANSERIN,Small molecule,MOL,4.0,,,,,
CHEMBL11,IMIPRAMINE,Small molecule,MOL,4.0,1959.0,,,,
CHEMBL406,INDAPAMIDE,Small molecule,MOL,4.0,1983.0,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1876,
CHEMBL407,FLUMAZENIL,Small molecule,MOL,4.0,1991.0,GABA-A receptor; anion channel allosteric antagonist,ALLOSTERIC ANTAGONIST,CHEMBL2093872,
CHEMBL408,TROGLITAZONE,Small molecule,MOL,4.0,1997.0,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,CHEMBL235,
CHEMBL409,BICALUTAMIDE,Small molecule,MOL,4.0,1995.0,Androgen Receptor antagonist,ANTAGONIST,CHEMBL1871,
