name
Alkaptonuria
Alpha-1 antitrypsin deficiency
Alström syndrome
Amyotrophic lateral sclerosis
Angelman syndrome
Ataxia-telangiectasia
Autosomal dominant optic atrophy
Bardet-Biedl syndrome
Batten disease
CHARGE syndrome
Canavan disease
Congenital insensitivity to pain
Cri du chat syndrome
Cystic fibrosis
Dandy-Walker malformation
Dravet syndrome
Duchenne muscular dystrophy
Edwards syndrome
Ehlers-Danlos syndrome
Ellis-van Creveld syndrome
Fabry disease
Familial Mediterranean fever
Gaucher disease
Hemophilia A
Hereditary angioedema
Huntington disease
Hypophosphatasia
Joubert syndrome
Krabbe disease
Leigh syndrome
Lesch-Nyhan syndrome
Maple syrup urine disease
Meckel-Gruber syndrome
Menkes disease
Metachromatic leukodystrophy
Mucolipidosis type IV
Mucopolysaccharidosis I
Neurofibromatosis type 1
Niemann-Pick disease
Osteogenesis imperfecta
Patau syndrome
Phenylketonuria
Pompe disease
Prader-Willi syndrome
Refsum disease
Rett syndrome
Sandhoff disease
Sanfilippo syndrome
Seckel syndrome
Shwachman-Diamond syndrome
Sickle cell anemia
Smith-Lemli-Opitz syndrome
Spinal muscular atrophy
Stargardt disease
Tay-Sachs disease
Thalassemia
Treacher Collins syndrome
Trisomy 18
Tuberous sclerosis
Ullrich congenital muscular dystrophy
Usher syndrome
Von Hippel-Lindau disease
Wilson disease
Wolfram syndrome
X-linked adrenoleukodystrophy
Zellweger syndrome
